freq,intensity
2501.9448,0.41733
2502.1858,0.41674
2502.427,0.41611
2502.668,0.41527
2502.9089,0.41409
2503.1501,0.41254
2503.3911,0.41081
2503.6321,0.40917
2503.8733,0.40787
2504.1143,0.40689
2504.3555,0.40605
2504.5964,0.40512
2504.8374,0.40409
2505.0786,0.40308
2505.3196,0.40222
2505.5605,0.40146
2505.8018,0.4006
2506.0427,0.39951
2506.2839,0.3983
2506.5249,0.39724
2506.7659,0.39651
2507.0071,0.39605
2507.248,0.39563
2507.489,0.39507
2507.7302,0.39449
2507.9712,0.39405
2508.2124,0.39385
2508.4534,0.39378
2508.6943,0.39357
2508.9355,0.39308
2509.1765,0.39234
2509.4175,0.39157
2509.6587,0.39103
2509.8997,0.3909
2510.1409,0.3912
2510.3818,0.39169
2510.6228,0.39199
2510.864,0.3918
2511.105,0.39117
2511.3459,0.39055
2511.5872,0.39053
2511.8281,0.39136
2512.0693,0.39267
2512.3103,0.39374
2512.5513,0.39407
2512.7925,0.39371
2513.0334,0.39322
2513.2744,0.39314
2513.5156,0.39354
2513.7566,0.39407
2513.9978,0.39435
2514.2388,0.39429
2514.4797,0.39419
2514.7209,0.39448
2514.9619,0.39534
2515.2029,0.39662
2515.4441,0.39789
2515.6851,0.39874
2515.9263,0.39907
2516.1672,0.39907
2516.4082,0.39916
2516.6494,0.39969
2516.8904,0.40075
2517.1313,0.40206
2517.3726,0.40324
2517.6135,0.4041
2517.8547,0.40473
2518.0957,0.40547
2518.3367,0.40652
2518.5779,0.40786
2518.8188,0.40922
2519.0598,0.41032
2519.301,0.41112
2519.542,0.41181
2519.7832,0.41266
2520.0242,0.41384
2520.2651,0.41527
2520.5063,0.41669
2520.7473,0.41785
2520.9883,0.41875
2521.2295,0.41959
2521.4705,0.42069
2521.7117,0.42221
2521.9526,0.42398
2522.1936,0.42568
2522.4348,0.42709
2522.6758,0.42825
2522.9167,0.42947
2523.158,0.43103
2523.3989,0.43296
2523.6401,0.43504
2523.8811,0.43694
2524.1221,0.43851
2524.3633,0.43981
2524.6042,0.44107
2524.8452,0.44254
2525.0864,0.44437
2525.3274,0.44651
2525.5686,0.44876
2525.8096,0.45088
2526.0505,0.45276
2526.2917,0.45456
2526.5327,0.45656
2526.7737,0.45894
2527.0149,0.46155
2527.2559,0.46401
2527.4971,0.46601
2527.738,0.46759
2527.979,0.46917
2528.2202,0.47126
2528.4612,0.47397
2528.7021,0.477
2528.9434,0.47985
2529.1843,0.48218
2529.4255,0.48411
2529.6665,0.48601
2529.9075,0.4882
2530.1487,0.49068
2530.3896,0.4932
2530.6306,0.49544
2530.8718,0.49733
2531.1128,0.49913
2531.354,0.50117
2531.595,0.50366
2531.8359,0.50651
2532.0771,0.50937
2532.3181,0.5119
2532.5591,0.51397
2532.8003,0.51581
2533.0413,0.51777
2533.2825,0.52017
2533.5234,0.52301
2533.7644,0.52602
2534.0056,0.52875
2534.2466,0.53093
2534.4875,0.53262
2534.7288,0.53419
2534.9697,0.53609
2535.2109,0.53853
2535.4519,0.54136
2535.6929,0.54419
2535.9341,0.5467
2536.175,0.54886
2536.416,0.55094
2536.6572,0.55322
2536.8982,0.55576
2537.1394,0.55836
2537.3804,0.56074
2537.6213,0.56283
2537.8625,0.56478
2538.1035,0.56686
2538.3445,0.5692
2538.5857,0.57173
2538.8267,0.57419
2539.0679,0.57646
2539.3088,0.57852
2539.5498,0.58055
2539.791,0.58268
2540.032,0.58494
2540.2729,0.58715
2540.5142,0.58908
2540.7551,0.59066
2540.9963,0.59201
2541.2373,0.59346
2541.4783,0.59524
2541.7195,0.59737
2541.9604,0.59948
2542.2014,0.60114
2542.4426,0.6021
2542.6836,0.60253
2542.9248,0.60289
2543.1658,0.60362
2543.4067,0.60481
2543.6479,0.60617
2543.8889,0.60729
2544.1299,0.608
2544.3711,0.60844
2544.6121,0.60897
2544.8533,0.60976
2545.0942,0.61072
2545.3352,0.61147
2545.5764,0.61172
2545.8174,0.61145
2546.0583,0.61099
2546.2996,0.61079
2546.5405,0.61107
2546.7817,0.61174
2547.0227,0.61245
2547.2637,0.61286
2547.5049,0.61291
2547.7458,0.61283
2547.9868,0.61296
2548.228,0.61349
2548.469,0.61429
2548.7102,0.61495
2548.9512,0.61512
2549.1921,0.61477
2549.4333,0.61424
2549.6743,0.61405
2549.9153,0.61453
2550.1565,0.61561
2550.3975,0.6168
2550.6387,0.61759
2550.8796,0.61778
2551.1206,0.61762
2551.3618,0.61761
2551.6028,0.61811
2551.8438,0.6191
2552.085,0.62019
2552.3259,0.62093
2552.5671,0.62118
2552.8081,0.6212
2553.0491,0.62146
2553.2903,0.6223
2553.5313,0.62361
2553.7722,0.62493
2554.0134,0.62578
2554.2544,0.62606
2554.4956,0.62616
2554.7366,0.6266
2554.9775,0.62769
2555.2188,0.62918
2555.4597,0.63051
2555.7007,0.6313
2555.9419,0.63154
2556.1829,0.63172
2556.4241,0.63234
2556.665,0.63355
2556.906,0.6351
2557.1472,0.63649
2557.3882,0.63745
2557.6292,0.63811
2557.8704,0.63888
2558.1113,0.64012
2558.3525,0.64184
2558.5935,0.64377
2558.8345,0.64551
2559.0757,0.64689
2559.3167,0.64804
2559.5576,0.6492
2559.7988,0.65062
2560.0398,0.6523
2560.281,0.65407
2560.522,0.65572
2560.7629,0.6572
2561.0042,0.65859
2561.2451,0.66013
2561.4861,0.66203
2561.7273,0.66434
2561.9683,0.66687
2562.2095,0.66914
2562.4504,0.67076
2562.6914,0.6716
2562.9326,0.67199
2563.1736,0.67242
2563.4146,0.67327
2563.6558,0.67446
2563.8967,0.67568
2564.1379,0.67672
2564.3789,0.67769
2564.6199,0.67889
2564.8611,0.6805
2565.1021,0.6823
2565.343,0.68381
2565.5842,0.68476
2565.8252,0.68528
2566.0664,0.68571
2566.3074,0.68636
2566.5483,0.6872
2566.7896,0.68798
2567.0305,0.6885
2567.2715,0.68879
2567.5127,0.68902
2567.7537,0.6894
2567.9949,0.69007
2568.2358,0.69105
2568.4768,0.6923
2568.718,0.69361
2568.959,0.69477
2569.2,0.69564
2569.4412,0.69625
2569.6821,0.69686
2569.9233,0.69769
2570.1643,0.69869
2570.4053,0.69963
2570.6465,0.70026
2570.8875,0.70066
2571.1284,0.70116
2571.3696,0.70208
2571.6106,0.70339
2571.8518,0.70476
2572.0928,0.70581
2572.3337,0.70645
2572.575,0.70692
2572.8159,0.70754
2573.0569,0.70845
2573.2981,0.70951
2573.5391,0.71045
2573.7803,0.71111
2574.0212,0.71151
2574.2622,0.71184
2574.5034,0.71225
2574.7444,0.7128
2574.9854,0.71345
2575.2266,0.71409
2575.4675,0.71466
2575.7087,0.71517
2575.9497,0.71572
2576.1907,0.71638
2576.4319,0.71722
2576.6729,0.71814
2576.9138,0.71895
2577.155,0.71945
2577.396,0.71957
2577.6372,0.71938
2577.8782,0.71913
2578.1191,0.71907
2578.3604,0.71931
2578.6013,0.7198
2578.8423,0.72033
2579.0835,0.72065
2579.3245,0.72072
2579.5657,0.72067
2579.8066,0.72073
2580.0476,0.72102
2580.2888,0.72142
2580.5298,0.7217
2580.7708,0.72165
2581.012,0.72137
2581.2529,0.72117
2581.4941,0.72134
2581.7351,0.72192
2581.9761,0.72264
2582.2173,0.72312
2582.4583,0.72314
2582.6992,0.72277
2582.9404,0.72226
2583.1814,0.72182
2583.4226,0.72153
2583.6636,0.72131
2583.9045,0.72101
2584.1458,0.72054
2584.3867,0.71998
2584.6277,0.71948
2584.8689,0.71919
2585.1099,0.71911
2585.3511,0.71907
2585.592,0.71872
2585.833,0.71789
2586.0742,0.7167
2586.3152,0.71563
2586.5562,0.71506
2586.7974,0.71506
2587.0383,0.71516
2587.2795,0.71477
2587.5205,0.71358
2587.7615,0.71179
2588.0027,0.70993
2588.2437,0.70849
2588.4846,0.70758
2588.7258,0.70696
2588.9668,0.70633
2589.208,0.70552
2589.449,0.70447
2589.6899,0.7032
2589.9312,0.70174
2590.1721,0.70011
2590.4131,0.69841
2590.6543,0.69681
2590.8953,0.69544
2591.1365,0.69435
2591.3774,0.69351
2591.6184,0.69279
2591.8596,0.69201
2592.1006,0.691
2592.3416,0.68971
2592.5828,0.68822
2592.8237,0.6868
2593.0649,0.68571
2593.3059,0.6851
2593.5469,0.68496
2593.7881,0.68509
2594.0291,0.68521
2594.27,0.68506
2594.5112,0.68443
2594.7522,0.68338
2594.9934,0.68229
2595.2344,0.68164
2595.4753,0.68178
2595.7166,0.68267
2595.9575,0.68386
2596.1985,0.68492
2596.4397,0.68566
2596.6807,0.68633
2596.9219,0.68727
2597.1628,0.68861
2597.4038,0.69024
2597.645,0.69196
2597.886,0.69367
2598.127,0.69537
2598.3682,0.69706
2598.6091,0.6986
2598.8503,0.69988
2599.0913,0.70097
2599.3323,0.70218
2599.5735,0.70375
2599.8145,0.70573
2600.0554,0.70786
2600.2966,0.70984
2600.5376,0.71153
2600.7788,0.7131
2601.0198,0.71483
2601.2607,0.7169
2601.502,0.71927
2601.7429,0.72171
2601.9839,0.724
2602.2251,0.72603
2602.4661,0.72787
2602.7073,0.72971
2602.9482,0.73166
2603.1892,0.73379
2603.4304,0.73595
2603.6714,0.73798
2603.9124,0.73975
2604.1536,0.74127
2604.3945,0.74271
2604.6357,0.74421
2604.8767,0.74585
2605.1177,0.74761
2605.3589,0.74939
2605.5999,0.75108
2605.8408,0.75262
2606.082,0.75402
2606.323,0.75534
2606.5642,0.75666
2606.8052,0.75804
2607.0461,0.75946
2607.2874,0.76089
2607.5283,0.76223
2607.7693,0.76353
2608.0105,0.76486
2608.2515,0.76625
2608.4927,0.76766
2608.7336,0.76902
2608.9746,0.77033
2609.2158,0.77169
2609.4568,0.77322
2609.6978,0.77493
2609.939,0.77666
2610.1799,0.77821
2610.4211,0.77951
2610.6621,0.78067
2610.9031,0.78192
2611.1443,0.78339
2611.3853,0.78501
2611.6262,0.78664
2611.8674,0.78818
2612.1084,0.78964
2612.3496,0.79108
2612.5906,0.79258
2612.8315,0.79419
2613.0728,0.7959
2613.3137,0.79771
2613.5547,0.79958
2613.7959,0.80133
2614.0369,0.80289
2614.2781,0.80422
2614.519,0.80547
2614.76,0.80687
2615.0012,0.8085
2615.2422,0.8103
2615.4832,0.81211
2615.7244,0.81377
2615.9653,0.81526
2616.2065,0.8166
2616.4475,0.81785
2616.6885,0.81911
2616.9297,0.82049
2617.1707,0.82217
2617.4116,0.82424
2617.6528,0.82661
2617.8938,0.82898
2618.135,0.831
2618.376,0.83257
2618.6169,0.83379
2618.8582,0.83495
2619.0991,0.83628
2619.3401,0.83779
2619.5813,0.83935
2619.8223,0.84081
2620.0635,0.84214
2620.3044,0.84342
2620.5454,0.8448
2620.7866,0.84637
2621.0276,0.84814
2621.2686,0.85
2621.5098,0.85179
2621.7507,0.85335
2621.9919,0.85467
2622.2329,0.85584
