Freq_ax,HBQ,freq,dmso
302.25873,977.6817,302.25873,972.51482
304.41772,1084.12058,304.41772,1375.10434
306.57671,1318.64178,306.57671,1748.08828
308.7357,1572.05715,308.7357,1760.49343
310.89469,1683.82602,310.89469,1575.28812
313.05368,1888.58054,313.05368,1502.19185
315.21267,2269.65676,315.21267,1555.56063
317.37166,2399.87613,317.37166,1590.08392
319.53065,2095.70109,319.53065,1522.73303
321.68965,1990.2185,321.68965,1530.9405
323.84864,2034.6472,323.84864,1490.46008
326.00763,1698.08508,326.00763,1304.80204
328.16662,1259.41391,328.16662,1032.82441
330.32561,1127.58497,330.32561,808.22224
332.4846,1183.20848,332.4846,692.76406
334.64359,1185.92821,334.64359,744.03116
336.80258,1028.06512,336.80258,864.41425
338.96157,871.69127,338.96157,874.49342
341.12056,896.60963,341.12056,812.5273
343.27955,872.09834,343.27955,790.26644
345.43855,767.64643,345.43855,740.36263
347.59754,787.53221,347.59754,722.40892
349.75653,1216.99768,349.75653,683.69107
351.91552,1437.48091,351.91552,658.1862
354.07451,1045.67806,354.07451,737.56249
356.2335,746.84296,356.2335,692.16145
358.39249,854.15092,358.39249,585.41793
360.55148,789.91863,360.55148,748.89253
362.71047,707.17531,362.71047,867.92694
364.86946,641.24009,364.86946,732.18061
367.02845,827.51022,367.02845,671.32658
369.18745,994.75431,369.18745,864.27812
371.34644,828.59083,371.34644,832.33389
373.50543,711.27472,373.50543,614.0182
375.66442,706.60042,375.66442,541.42805
377.82341,743.73515,377.82341,647.50068
379.9824,831.65441,379.9824,683.81517
382.14139,924.66468,382.14139,622.51384
384.30038,1029.26027,384.30038,621.0184
386.45937,980.48787,386.45937,650.89188
388.61836,884.1737,388.61836,633.2599
390.77735,828.42155,390.77735,673.11539
392.93635,718.45396,392.93635,841.63434
395.09534,684.0389,395.09534,816.73221
397.25433,711.77209,397.25433,595.60532
399.41332,758.24941,399.41332,595.99585
401.57231,721.43737,401.57231,745.61353
403.7313,811.58181,403.7313,674.76127
405.89029,859.7277,405.89029,594.0156
408.04928,744.6705,408.04928,674.68287
410.20827,687.86056,410.20827,663.13865
412.36726,646.69626,412.36726,616.78563
414.52625,706.79385,414.52625,731.81595
416.68525,716.73939,416.68525,919.06618
