axis(cm-1),no excitation,,with_excitation,,diff
25794.09364,20000.897,,20738.85,,737.953
25802.15919,19866.594,,20903.611,,1037.017
25810.22473,19735.23,,20988.732,,1253.502
25818.29028,19613.01,,20994.959,,1381.949
25826.35582,19504.805,,20929.072,,1424.267
25834.42136,19418.293,,20802.593,,1384.3
25842.48691,19353.493,,20631.016,,1277.523
25850.55245,19310.338,,20432.772,,1122.434
25858.618,19287.097,,20227.53,,940.433
25866.68354,19280.347,,20034.103,,753.756
25874.74908,19285.92,,19870.372,,584.452
25882.81463,19298.442,,19751.517,,453.075
25890.88017,19311.282,,19688.369,,377.087
25898.94572,19322.468,,19684.801,,362.333
25907.01126,19325.544,,19746.419,,420.875
25915.0768,19317.073,,19866.073,,549
25923.14235,19294.36,,20035.217,,740.857
25931.20789,19256.049,,20240.742,,984.693
25939.27344,19201.591,,20467.05,,1265.459
25947.33898,19132.192,,20696.725,,1564.533
25955.40452,19049.209,,20912.458,,1863.249
25963.47007,18955.607,,21097.871,,2142.264
25971.53561,18854.207,,21238.416,,2384.209
25979.60116,18748.44,,21323.381,,2574.941
25987.6667,18644.126,,21346.026,,2701.9
25995.73224,18544.957,,21304.089,,2759.132
26003.79779,18455.388,,21199.354,,2743.966
26011.86333,18379.691,,21037.963,,2658.272
26019.92888,18322.643,,20829.211,,2506.568
26027.99442,18287.254,,20585.384,,2298.13
26036.05996,18276.028,,20320.588,,2044.56
26044.12551,18288.904,,20048.53,,1759.626
26052.19105,18330.038,,19782.329,,1452.291
26060.2566,18396.257,,19536.835,,1140.578
26068.32214,18486.212,,19321.07,,834.858
26076.38768,18596.387,,19142.657,,546.27
26084.45323,18723.379,,19007.073,,283.694
26092.51877,18862.377,,18915.761,,53.384
26100.58432,19008.939,,18867.984,,-140.955
26108.64986,19157.153,,18860.817,,-296.336
26116.7154,19301.712,,18886.965,,-414.747
26124.78095,19439.115,,18942.521,,-496.594
26132.84649,19563.777,,19017.863,,-545.914
26140.91204,19672.068,,19104.78,,-567.288
26148.97758,19761.102,,19195.985,,-565.117
26157.04312,19827.672,,19284.393,,-543.279
26165.10867,19871.41,,19364.159,,-507.251
26173.17421,19890.869,,19431.668,,-459.201
26181.23976,19885.832,,19484.471,,-401.361
26189.3053,19856.704,,19522.279,,-334.425
26197.37084,19805.167,,19545.962,,-259.205
26205.43639,19734.438,,19558.484,,-175.954
26213.50193,19647.748,,19563.723,,-84.025
26221.56748,19549.402,,19566.29,,16.888
